TextEpic,DealId,ActivityHistoryId,Date,Time,ActivityType,MarketName,Period,Result,Channel,Currency,Size,Level,Stop,StopType,Limit,ActionStatus,Order Stop Level
,,DIAAAATN39EVHAF,2025/05/04,11:57,WORKING_ORDER,Serco Group PLC,DFB,ACCEPTED: ,API,GBP,+62.92,158.9216,152.3916,N,166.3716,ACCEPTED,-
,,DIAAAATN39MPLAJ,2025/05/04,11:54,WORKING_ORDER,Serco Group PLC,DFB,ACCEPTED: ,API,GBP,-52.09,191.964,198.904,N,184.414,ACCEPTED,-
,,DIAAAATN38XFFAM,2025/05/04,11:30,WORKING_ORDER,Serco Group PLC,DFB,ACCEPTED: ,API,GBP,+62.62,159.7059,152.6259,N,167.3459,ACCEPTED,-
,,DIAAAATN38XE9AM,2025/05/04,11:23,WORKING_ORDER,Serco Group PLC,DFB,ACCEPTED: ,API,GBP,+62.62,159.7059,152.6259,N,167.3459,ACCEPTED,-
,,DIAAAATN38QMKAQ,2025/05/04,11:22,WORKING_ORDER,Serco Group PLC,DFB,ACCEPTED: ,API,GBP,-52.09,191.964,198.904,N,184.414,ACCEPTED,-
,,DIAAAATN38422AR,2025/05/04,11:10,WORKING_ORDER,Serco Group PLC,DFB,ACCEPTED: ,API,GBP,+62.92,158.9216,152.3916,N,166.3716,ACCEPTED,-
,,DIAAAATN38YJQAN,2025/05/04,11:10,WORKING_ORDER,Serco Group PLC,DFB,ACCEPTED: ,API,GBP,-53.93,185.436,190.806,N,179.176,ACCEPTED,-
,,DIAAAATN38RLVAB,2025/05/04,11:09,WORKING_ORDER,Serco Group PLC,DFB,ACCEPTED: ,API,GBP,-53.9,185.436,190.836,N,179.136,ACCEPTED,-
,,DIAAAATN39GVSA6,2025/05/04,11:08,WORKING_ORDER,Serco Group PLC,DFB,ACCEPTED: ,API,GBP,-53.9,185.436,190.836,N,179.136,ACCEPTED,-
,,DIAAAATN39AUUAX,2025/05/04,11:08,WORKING_ORDER,Serco Group PLC,DFB,ACCEPTED: ,API,GBP,-53.9,185.436,190.836,N,179.136,ACCEPTED,-
,,DIAAAATN38YJNAN,2025/05/04,11:07,WORKING_ORDER,Serco Group PLC,DFB,ACCEPTED: ,API,GBP,-53.9,185.436,190.836,N,179.136,ACCEPTED,-
,,DIAAAATN39QAFA2,2025/05/04,11:07,WORKING_ORDER,Serco Group PLC,DFB,ACCEPTED: ,API,GBP,-53.9,185.436,190.836,N,179.136,ACCEPTED,-
,,DIAAAATN39MNEAJ,2025/05/04,11:02,WORKING_ORDER,Serco Group PLC,DFB,ACCEPTED: ,API,GBP,-53.9,185.436,190.836,N,179.136,ACCEPTED,-
,,DIAAAATN38K45AY,2025/05/04,10:59,WORKING_ORDER,Serco Group PLC,DFB,ACCEPTED: ,API,GBP,-53.9,185.436,190.836,N,179.136,ACCEPTED,-
,,DIAAAATN386VNAE,2025/05/04,10:58,WORKING_ORDER,Serco Group PLC,DFB,ACCEPTED: ,API,GBP,-54.5,183.618,189.018,N,177.318,ACCEPTED,-
,,DIAAAATN38SFXAW,2025/05/04,10:58,WORKING_ORDER,Serco Group PLC,DFB,ACCEPTED: ,API,GBP,+62.3,160.495,154.595,N,167.295,ACCEPTED,-
,,DIAAAATN38UE5A8,2025/05/04,10:58,WORKING_ORDER,Serco Group PLC,DFB,ACCEPTED: ,API,GBP,+62.3,160.495,154.595,N,167.295,ACCEPTED,-
,,DIAAAATN39HQDA9,2025/05/04,10:57,WORKING_ORDER,Serco Group PLC,DFB,ACCEPTED: ,API,GBP,+62.3,160.495,154.595,N,167.295,ACCEPTED,-
,,DIAAAATN4ALGPBC,2025/05/04,10:53,WORKING_ORDER,Serco Group PLC,DFB,ACCEPTED: ,API,GBP,+62.3,160.495,154.595,N,167.295,ACCEPTED,-
,,DIAAAATN38YGJAN,2025/05/04,10:44,WORKING_ORDER,Serco Group PLC,DFB,ACCEPTED: ,API,GBP,+62.3,160.495,154.595,N,167.295,ACCEPTED,-
,,DIAAAATN3854UAT,2025/05/04,10:40,WORKING_ORDER,Serco Group PLC,DFB,ACCEPTED: ,API,GBP,+62.3,160.495,154.595,N,167.295,ACCEPTED,-
,,DIAAAATN4AKYNBC,2025/05/04,10:33,WORKING_ORDER,Serco Group PLC,DFB,ACCEPTED: ,API,GBP,+62.9,158.9216,152.4216,N,166.4216,ACCEPTED,-
,,DIAAAATN38N2QA7,2025/05/04,10:30,WORKING_ORDER,Serco Group PLC,DFB,ACCEPTED: ,API,GBP,+62.9,158.9216,152.3916,N,166.3716,ACCEPTED,-
,,DIAAAATN39NBMAL,2025/05/04,10:29,WORKING_ORDER,Serco Group PLC,DFB,ACCEPTED: ,API,GBP,-53.9,185.436,190.806,N,179.176,ACCEPTED,-
,,DIAAAATN38SEXAW,2025/05/04,10:28,WORKING_ORDER,Serco Group PLC,DFB,ACCEPTED: ,API,GBP,+62.9,158.9216,152.3916,N,166.3716,ACCEPTED,-
,,DIAAAATN38SETAW,2025/05/04,10:25,WORKING_ORDER,Serco Group PLC,DFB,ACCEPTED: ,API,GBP,+62.9,158.9216,152.3916,N,166.3716,ACCEPTED,-
,,DIAAAATN38QHKAQ,2025/05/04,10:04,WORKING_ORDER,Serco Group PLC,DFB,ACCEPTED: ,API,GBP,+62.9,158.9216,152.3916,N,166.3716,ACCEPTED,-
,,DIAAAATN39MKCAJ,2025/05/04,10:03,WORKING_ORDER,Serco Group PLC,DFB,ACCEPTED: ,API,GBP,-53.9,185.436,190.806,N,179.176,ACCEPTED,-
,,DIAAAATN38K2DAY,2025/05/04,10:02,WORKING_ORDER,Serco Group PLC,DFB,ACCEPTED: ,API,GBP,+62.9,158.9216,152.3916,N,166.3716,ACCEPTED,-
,,DIAAAATN38SDXAW,2025/05/04,10:01,WORKING_ORDER,Serco Group PLC,DFB,ACCEPTED: ,API,GBP,+62.9,158.9216,152.3916,N,166.3716,ACCEPTED,-
,,DIAAAATN38K2CAY,2025/05/04,10:00,WORKING_ORDER,Serco Group PLC,DFB,ACCEPTED: ,API,GBP,+62.9,158.9216,152.3916,N,166.3716,ACCEPTED,-
,,DIAAAATN38YEQAN,2025/05/04,10:00,WORKING_ORDER,Serco Group PLC,DFB,ACCEPTED: ,API,GBP,+62.9,158.9216,152.3916,N,166.3716,ACCEPTED,-
,,DIAAAATN39HM9A9,2025/05/04,09:58,WORKING_ORDER,Serco Group PLC,DFB,ACCEPTED: ,API,GBP,-53.9,185.436,190.806,N,179.176,ACCEPTED,-
,,DIAAAATN382ZGAG,2025/05/04,09:57,WORKING_ORDER,Serco Group PLC,DFB,ACCEPTED: ,API,GBP,-53.9,185.436,190.806,N,179.176,ACCEPTED,-
,,DIAAAATN38LU5BA,2025/05/04,09:56,WORKING_ORDER,Serco Group PLC,DFB,ACCEPTED: ,API,GBP,-53.9,185.436,190.806,N,179.176,ACCEPTED,-
,,DIAAAATN38QHAAQ,2025/05/04,09:48,WORKING_ORDER,Serco Group PLC,DFB,ACCEPTED: ,API,GBP,-53.9,185.436,190.836,N,179.136,ACCEPTED,-
,,DIAAAATN38RHLAB,2025/05/04,09:45,WORKING_ORDER,Serco Group PLC,DFB,ACCEPTED: ,API,GBP,-53.9,185.436,190.836,N,179.136,ACCEPTED,-
,,DIAAAATN382Y5AG,2025/05/04,09:45,WORKING_ORDER,Serco Group PLC,DFB,ACCEPTED: ,API,GBP,-54.5,183.618,189.018,N,177.318,ACCEPTED,-
,,DIAAAATN39GSDA6,2025/05/04,09:42,WORKING_ORDER,Serco Group PLC,DFB,ACCEPTED: ,API,GBP,-54.5,183.618,189.018,N,177.318,ACCEPTED,-
,,DIAAAATN39GR8A6,2025/05/04,09:37,WORKING_ORDER,Serco Group PLC,DFB,ACCEPTED: ,API,GBP,-54.5,183.618,189.018,N,177.318,ACCEPTED,-
,,DIAAAATN38F49A2,2025/05/04,08:57,WORKING_ORDER,MERCK Kommanditgesellschaft auf Aktien,DFB,ACCEPTED: ,API,GBP,-0.8,12833.8,13749.6,N,11969.1,ACCEPTED,-
,,DIAAAATN386SDAE,2025/05/04,08:57,WORKING_ORDER,MERCK Kommanditgesellschaft auf Aktien,DFB,ACCEPTED: ,API,GBP,-0.8,12833.8,12853.1,N,12808.1,ACCEPTED,-
,,DIAAAATN34HFAA8,2025/05/03,22:48,WORKING_ORDER,Serco Group PLC,DFB,ACCEPTED: ,API,GBP,-54.5,183.618,189.018,N,177.318,ACCEPTED,-
,,DIAAAATN32357AL,2025/05/03,22:47,WORKING_ORDER,Serco Group PLC,DFB,ACCEPTED: ,API,GBP,-54.5,183.618,189.018,N,177.318,ACCEPTED,-
,,DIAAAATN3258DAT,2025/05/03,22:43,WORKING_ORDER,Serco Group PLC,DFB,ACCEPTED: ,API,GBP,-54.5,183.618,189.018,N,177.318,ACCEPTED,-
,,DIAAAATN33DFUA4,2025/05/03,13:55,WORKING_ORDER,Serco Group PLC,DFB,ACCEPTED: ,API,GBP,-54.5,183.618,189.018,N,177.318,ACCEPTED,-
,,DIAAAATN33EDAA8,2025/05/03,13:55,WORKING_ORDER,Serco Group PLC,DFB,ACCEPTED: ,API,GBP,+62.3,160.495,154.595,N,167.295,ACCEPTED,-
,,DIAAAATN33L3VAF,2025/05/03,13:54,WORKING_ORDER,MERCK Kommanditgesellschaft auf Aktien,DFB,ACCEPTED: ,API,GBP,-0.8,12833.8,12853.1,N,12808.1,ACCEPTED,-
,,DIAAAATN322TPAB,2025/05/03,13:54,WORKING_ORDER,MERCK Kommanditgesellschaft auf Aktien,DFB,REJECTED: ,API,GBP,-0.8,12354.85,13270.65,N,11490.15,REJECTED,-
,,DIAAAATN326UKAN,2025/05/03,13:53,WORKING_ORDER,MERCK Kommanditgesellschaft auf Aktien,DFB,ACCEPTED: ,API,GBP,+0.8,11800.97,10919.57,N,12616.47,ACCEPTED,-
,,DIAAAATN328QVAQ,2025/05/03,13:53,WORKING_ORDER,Nomura Holdings Inc (US),DFB,ACCEPTED: ,API,GBP,-18,555.66,599.96,N,506.56,ACCEPTED,-
,,DIAAAATN33E9HAV,2025/05/03,13:52,WORKING_ORDER,Nomura Holdings Inc (US),DFB,ACCEPTED: ,API,GBP,+18.4,544.9,506.9,N,588.2,ACCEPTED,-
,,DIAAAATN32RLWBA,2025/05/03,13:52,WORKING_ORDER,Genie Energy Ltd,DFB,ACCEPTED: ,API,GBP,-6,1676.84,1823.14,N,1586.24,ACCEPTED,-
